node_id	title	summary	icon_id	category	tier	stage_name	cost	bonus_title	bonus_description	modifiers	production
wheatField	Wheat Field	A first field that turns quiet earth into dependable stores.	sf:leaf.fill	farming	1	Cleared Plot	wood:4|herbs:5	Hero Health +4	Hero Health +4\n+1 Food per Day	hero.maximum_health:4	food:1
wheatField	Wheat Field	A first field that turns quiet earth into dependable stores.	sf:leaf.fill	farming	2	Plowed Rows	wood:8|herbs:11	Hero Health +8	Hero Health +8\n+2 Food per Day	hero.maximum_health:8	food:2
wheatField	Wheat Field	A first field that turns quiet earth into dependable stores.	sf:leaf.fill	farming	3	Seeded Rows	wood:16|herbs:21	Hero Health +12	Hero Health +12\n+3 Food per Day	hero.maximum_health:12	food:3
wheatField	Wheat Field	A first field that turns quiet earth into dependable stores.	sf:leaf.fill	farming	4	Expanded Acres	wood:32|herbs:42	Hero Health +16	Hero Health +16\n+4 Food per Day	hero.maximum_health:16	food:4
herbGarden	Herb Garden	A small medicinal garden for tonics, reagents, and green magic.	sf:leaf.fill	farming	1	Prepared Beds	wood:4|herbs:5	Poison damage taken −1	Poison damage taken −1\n+1 Herbs per Day	damage_taken_flat:poison:1	herbs:1
herbGarden	Herb Garden	A small medicinal garden for tonics, reagents, and green magic.	sf:leaf.fill	farming	2	Planted Beds	wood:8|herbs:11	Poison damage taken −2	Poison damage taken −2\n+2 Herbs per Day	damage_taken_flat:poison:2	herbs:2
herbGarden	Herb Garden	A small medicinal garden for tonics, reagents, and green magic.	sf:leaf.fill	farming	3	Irrigated Beds	wood:16|herbs:21	Poison damage taken −3	Poison damage taken −3\n+3 Herbs per Day	damage_taken_flat:poison:3	herbs:3
herbGarden	Herb Garden	A small medicinal garden for tonics, reagents, and green magic.	sf:leaf.fill	farming	4	Covered Garden	wood:32|herbs:42	Poison damage taken −4	Poison damage taken −4\n+4 Herbs per Day	damage_taken_flat:poison:4	herbs:4
chickenCoop	Chicken Coop	A lively coop that keeps simple supplies moving between runs.	sf:bird.fill	farming	1	Coop Frame	wood:3|food:7	Companion Health +4	Companion Health +4\n+1 Food per Day	companion.maximum_health:4	food:1
chickenCoop	Chicken Coop	A lively coop that keeps simple supplies moving between runs.	sf:bird.fill	farming	2	Enclosed Coop	wood:6|food:13	Companion Health +8	Companion Health +8\n+2 Food per Day	companion.maximum_health:8	food:2
chickenCoop	Chicken Coop	A lively coop that keeps simple supplies moving between runs.	sf:bird.fill	farming	3	Nesting Boxes	wood:13|food:26	Companion Health +12	Companion Health +12\n+3 Food per Day	companion.maximum_health:12	food:3
chickenCoop	Chicken Coop	A lively coop that keeps simple supplies moving between runs.	sf:bird.fill	farming	4	Expanded Roost	wood:26|food:53	Companion Health +16	Companion Health +16\n+4 Food per Day	companion.maximum_health:16	food:4
pasture	Pasture	Open grazing land for larger stores and slower, stronger support.	sf:leaf.fill	farming	1	Fenced Ground	wood:3|food:7	Physical damage taken −1	Physical damage taken −1\n+1 Hide per Day	damage_taken_flat:physical:1	hide:1
pasture	Pasture	Open grazing land for larger stores and slower, stronger support.	sf:leaf.fill	farming	2	Seeded Pasture	wood:6|food:13	Physical damage taken −2	Physical damage taken −2\n+2 Hide per Day	damage_taken_flat:physical:2	hide:2
pasture	Pasture	Open grazing land for larger stores and slower, stronger support.	sf:leaf.fill	farming	3	Watering Troughs	wood:13|food:26	Physical damage taken −3	Physical damage taken −3\n+3 Hide per Day	damage_taken_flat:physical:3	hide:3
pasture	Pasture	Open grazing land for larger stores and slower, stronger support.	sf:leaf.fill	farming	4	Sheltered Range	wood:26|food:53	Physical damage taken −4	Physical damage taken −4\n+4 Hide per Day	damage_taken_flat:physical:4	hide:4
culinaryArts	Culinary Arts	A warm kitchen that turns the harvest into lasting strength.	sf:fork.knife	crafting	1	Cooking Hearth	food:7|herbs:4	Health restored +1	Health restored +1\n+1 Food per Day	health_restored:1	food:1
culinaryArts	Culinary Arts	A warm kitchen that turns the harvest into lasting strength.	sf:fork.knife	crafting	2	Work Kitchen	food:13|herbs:8	Health restored +2	Health restored +2\n+2 Food per Day	health_restored:2	food:2
culinaryArts	Culinary Arts	A warm kitchen that turns the harvest into lasting strength.	sf:fork.knife	crafting	3	Stone Oven	food:26|herbs:17	Health restored +3	Health restored +3\n+3 Food per Day	health_restored:3	food:3
culinaryArts	Culinary Arts	A warm kitchen that turns the harvest into lasting strength.	sf:fork.knife	crafting	4	Expanded Kitchen	food:53|herbs:34	Health restored +4	Health restored +4\n+4 Food per Day	health_restored:4	food:4
blacksmithForge	Blacksmith	A working forge for hardware, weapons, and stronger construction.	sf:hammer.fill	crafting	1	Forge Foundation	stone:3|iron:7	Physical damage +1	Physical damage +1\n+1 Iron per Day	damage_dealt:physical:1	iron:1
blacksmithForge	Blacksmith	A working forge for hardware, weapons, and stronger construction.	sf:hammer.fill	crafting	2	Hearth and Anvil	stone:6|iron:14	Physical damage +2	Physical damage +2\n+2 Iron per Day	damage_dealt:physical:2	iron:2
blacksmithForge	Blacksmith	A working forge for hardware, weapons, and stronger construction.	sf:hammer.fill	crafting	3	Covered Smithy	stone:13|iron:28	Physical damage +3	Physical damage +3\n+3 Iron per Day	damage_dealt:physical:3	iron:3
blacksmithForge	Blacksmith	A working forge for hardware, weapons, and stronger construction.	sf:hammer.fill	crafting	4	Reinforced Forge	stone:26|iron:55	Physical damage +4	Physical damage +4\n+4 Iron per Day	damage_dealt:physical:4	iron:4
woolTailoring	Wool Tailoring	A loom shop that weaves padded wraps against winter chill.	sf:scissors	crafting	1	Loom Frame	wood:2|hide:7	Freeze and Burn damage taken −1	Freeze and Burn damage taken −1\n+1 Gold per Day	damage_taken_flat:freeze:1|damage_taken_flat:burn:1	gold:1
woolTailoring	Wool Tailoring	A loom shop that weaves padded wraps against winter chill.	sf:scissors	crafting	2	Working Loom	wood:5|hide:13	Freeze and Burn damage taken −2	Freeze and Burn damage taken −2\n+2 Gold per Day	damage_taken_flat:freeze:2|damage_taken_flat:burn:2	gold:2
